Intructions_1.started,Intructions_1.stopped,instr_key_1.keys,instr_key_1.rt,instr_key_1.duration,session,participant,date,expName,psychopyVersion,OS,frameRate,Intructions_2.started,Intructions_2.stopped,trial.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,left_im,right_im,leftori,rightori,corrAns,angle,the_end.started,the_end.stopped
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,10.4171,10.4904,m,1,0.0013,,10.4905,10.9826,0,11,11,3,1,F.png,FR.png,0,45,m,45,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,10.9831,11.149,n,1,0.1178,,11.1491,11.6536,0,12,12,4,1,F.png,F.png,0,90,n,90,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,11.654,11.7522,n,1,0.0013,,11.7523,12.253,0,13,13,22,1,FR.png,FR.png,0,135,n,135,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,12.2535,12.3811,m,1,0.0814,,12.3812,12.881,0,14,14,31,1,FR.png,F.png,0,315,m,315,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,12.8814,12.9315,m,1,0.0321,,12.9315,13.4301,0,15,15,29,1,FR.png,F.png,0,270,m,270,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,13.4309,13.4779,m,0,0.0014,,13.478,13.9798,0,16,16,30,1,FR.png,FR.png,0,315,n,315,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,13.9806,14.0129,m,0,0.0151,,14.013,14.5124,0,17,17,26,1,FR.png,FR.png,0,225,n,225,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,14.5129,14.6124,m,1,0.0501,,14.6125,15.1119,0,18,18,1,1,F.png,FR.png,0,0,m,0,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,15.1123,15.1453,m,1,0.0199,,15.1455,15.6448,0,19,19,5,1,F.png,FR.png,0,90,m,90,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,15.6452,15.728,m,0,0.0334,,15.7281,16.2276,0,20,20,24,1,FR.png,FR.png,0,180,n,180,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,16.2282,16.311,m,0,0.0655,,16.3111,16.8101,0,21,21,20,1,FR.png,FR.png,0,90,n,90,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,16.8107,16.8873,m,0,0.0015,,16.8873,17.3763,0,22,22,14,1,F.png,F.png,0,315,n,315,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,17.3768,17.4428,m,1,0.0191,,17.4428,17.9427,0,23,23,11,1,F.png,FR.png,0,225,m,225,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,17.9433,17.9872,n,1,0.001,,17.9872,18.4752,0,24,24,0,1,F.png,F.png,0,0,n,0,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,18.4756,18.5749,n,0,0.0422,,18.5749,19.0745,0,25,25,25,1,FR.png,F.png,0,180,m,180,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,19.0748,19.2244,n,0,0.1358,,19.2244,19.724,0,26,26,27,1,FR.png,F.png,0,225,m,225,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,19.7245,19.7741,n,0,0.0325,,19.7742,20.2735,0,27,27,17,1,FR.png,F.png,0,0,m,0,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,20.2738,20.3734,n,0,0.0218,,20.3735,20.8729,0,28,28,9,1,F.png,FR.png,0,180,m,180,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,20.8732,20.9499,n,0,0.0013,,20.9499,21.4392,0,29,29,19,1,FR.png,F.png,0,45,m,45,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,21.4397,21.4836,n,1,0.0011,,21.4836,21.972,0,30,30,12,1,F.png,F.png,0,270,n,270,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,21.9724,22.0716,n,0,0.0524,,22.0716,22.5712,0,31,31,7,1,F.png,FR.png,0,135,m,135,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,22.5716,25.1027
