Intructions_1.started,Intructions_1.stopped,instr_key_1.keys,instr_key_1.rt,instr_key_1.duration,session,participant,date,expName,psychopyVersion,OS,frameRate,Intructions_2.started,Intructions_2.stopped,trial.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,left_im,right_im,leftori,rightori,corrAns,angle,the_end.started,the_end.stopped
0.0002,1.2095,m,1.1899,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,1.2097,2.2584,,,,,,,,,,,,,,,,,,,,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,2.2652,3.9732,m,1,1.6156,,3.9735,4.4725,0,0,0,13,1,F.png,FR.png,0,270,m,270,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,4.4731,4.5239,n,1,0.0014,,4.524,5.0218,0,1,1,28,1,FR.png,FR.png,0,270,n,270,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,5.0224,5.1053,m,0,0.0654,,5.1054,5.6046,0,2,2,18,1,FR.png,FR.png,0,45,n,45,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,5.6051,5.721,n,1,0.0262,,5.7211,6.221,0,3,3,2,1,F.png,F.png,0,45,n,45,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,6.2214,6.3537,m,0,0.0441,,6.3538,6.8534,0,4,4,16,1,FR.png,FR.png,0,0,n,0,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,6.8539,6.9702,n,1,0.031,,6.9703,7.4696,0,5,5,6,1,F.png,F.png,0,135,n,135,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,7.4713,7.5526,m,1,0.0302,,7.5526,8.0523,0,6,6,15,1,F.png,FR.png,0,315,m,315,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,8.0528,8.2356,n,0,0.0949,,8.2356,8.7348,0,7,7,21,1,FR.png,F.png,0,90,m,90,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,8.7354,8.8512,m,0,0.0641,,8.8513,9.3512,0,8,8,10,1,F.png,F.png,0,225,n,225,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,9.3516,9.3678,m,0,0.0012,,9.3679,9.8671,0,9,9,8,1,F.png,F.png,0,180,n,180,,
,,,,,001,,2025-02-15_13h54.31.649,MentalRotation,2024.1.5,Win32,59.88023952,,,9.8676,9.9244,m,1,0.0106,,9.9244,10.4166,0,10,10,23,1,FR.png,F.png,0,135,m,135,,
