Intructions_1.started,Intructions_1.stopped,instr_key_1.keys,instr_key_1.rt,instr_key_1.duration,session,participant,date,expName,psychopyVersion,OS,frameRate,Intructions_2.started
0.0002,1.6231,m,1.606,,001,,2025-02-15_14h34.41.389,MentalRotation,2024.2.4,Win32,60.24096386,
,,,,,001,,2025-02-15_14h34.41.389,MentalRotation,2024.2.4,Win32,60.24096386,1.624
