11.2836 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.2852 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.2869 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.2884 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.2900 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.2919 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.2937 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.2958 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.2978 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.2994 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.3010 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.3022 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.3045 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.3065 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.3084 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.3098 	DEBUG 	Uploading Texture Font fontname to graphics card
11.3126 	DEBUG 	Upload of Texture Font fontname complete
11.3335 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.3339 	DEBUG 	Uploading Texture Font fontname to graphics card
11.3359 	DEBUG 	Upload of Texture Font fontname complete
11.3461 	EXP 	Created image_L_3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image_L_3', opacity=1, ori=1.0, pos=array([-0.25,  0.2 ]), size=array([0.3, 0.3]), texRes=128, units='height', win=Window(...))
11.3500 	EXP 	Created image_R_3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image_R_3', opacity=1, ori=1.0, pos=array([0.25, 0.2 ]), size=array([0.3, 0.3]), texRes=128, units='height', win=Window(...))
11.3693 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
