left_im,right_im,leftori,rightori,corrAns,angle,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intructions_1.started,instr_key_1.started,instr_textbox1.started,Intructions_1.stopped,instr_key_1.keys,instr_key_1.rt,instr_key_1.duration,Intructions_2.started,image_L_3.started,image_R_3.started,instr_key_2.started,instrtxt2.started,Intructions_2.stopped,trial.started,image_L.started,image_R.started,key_resp.started,main_instr.started,trial_count.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,feedback.started,fbtext.started,feedback.stopped,fbtext.stopped,the_end.started,end_txt.started,end_key.started,text.started,session,participant,date,expName,psychopyVersion,frameRate,expStart,
F.png,F.png,0,45,n,45,10,10,0,m,0,0.10956969996914268,None,0,10,10,2,8.267951499903575,,,,,,,,,,,,,,,8.22710879985243,8.267951499903575,8.267951499903575,8.267951499903575,8.267951499903575,8.267951499903575,8.380451199831441,m,0,0.10956969996914268,None,8.380702999886125,8.392016500001773,8.877865599934012,9.013870399910957,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
F.png,F.png,0,225,n,225,11,11,0,n,1,0.014124500099569559,None,0,11,11,10,9.013870399910957,,,,,,,,,,,,,,,8.986185899935663,9.013870399910957,9.013870399910957,9.013870399910957,9.013870399910957,9.013870399910957,9.045176799874753,n,1,0.014124500099569559,None,9.04684289987199,9.05855660000816,9.543909499887377,9.673358999891207,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
F.png,FR.png,0,90,m,90,12,12,0,m,1,0.009601800004020333,None,0,12,12,5,9.673358999891207,,,,,,,,,,,,,,,9.642252099933103,9.673358999891207,9.673358999891207,9.673358999891207,9.673358999891207,9.673358999891207,9.694738700054586,m,1,0.009601800004020333,None,9.695040799910203,9.707862299866974,10.193282600026578,10.333343100035563,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
FR.png,F.png,0,135,m,135,13,13,0,m,1,0.11658699996769428,None,0,13,13,23,10.333343100035563,,,,,,,,,,,,,,,10.294528599828482,10.333343100035563,10.333343100035563,10.333343100035563,10.333343100035563,10.333343100035563,10.460356900002807,m,1,0.11658699996769428,None,10.460607799934223,10.473554899916053,10.959089299896732,11.089448099955916,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
F.png,F.png,0,90,n,90,14,14,0,n,1,0.016893899999558926,None,0,14,14,4,11.089448099955916,,,,,,,,,,,,,,,11.051827399991453,11.089448099955916,11.089448099955916,11.089448099955916,11.089448099955916,11.089448099955916,11.11074859998189,n,1,0.016893899999558926,None,11.110995800001547,11.123183500021696,11.609358999878168,11.764877100009471,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
FR.png,FR.png,0,0,n,0,15,15,0,n,1,0.11784349987283349,None,0,15,15,16,11.764877100009471,,,,,,,,,,,,,,,11.715637000044808,11.764877100009471,11.764877100009471,11.764877100009471,11.764877100009471,11.764877100009471,11.892339600017294,n,1,0.11784349987283349,None,11.892619699938223,11.90574559988454,12.390888199908659,12.521646599983796,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
F.png,FR.png,0,45,m,45,16,16,0,m,1,0.03495560004375875,None,0,16,16,3,12.521646599983796,,,,,,,,,,,,,,,12.487490399973467,12.521646599983796,12.521646599983796,12.521646599983796,12.521646599983796,12.521646599983796,12.55941789993085,m,1,0.03495560004375875,None,12.559758399846032,12.571392899844795,13.057156299939379,13.212578099919483,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
FR.png,F.png,0,0,m,0,17,17,0,n,0,0.01600750000216067,None,0,17,17,17,13.212578099919483,,,,,,,,,,,,,,,13.16619799984619,13.212578099919483,13.212578099919483,13.212578099919483,13.212578099919483,13.212578099919483,13.24084430001676,n,0,0.01600750000216067,None,13.242495599901304,13.254511900013313,13.739764499943703,13.8785377999302,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
F.png,FR.png,0,180,m,180,18,18,0,m,1,0.014227800071239471,None,0,18,18,9,13.8785377999302,,,,,,,,,,,,,,,13.843096199911088,13.8785377999302,13.8785377999302,13.8785377999302,13.8785377999302,13.8785377999302,13.907186500029638,m,1,0.014227800071239471,None,13.908854099921882,13.92022700002417,14.405943999998271,14.534796899883077,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
FR.png,FR.png,0,315,n,315,19,19,0,n,1,0.04907319997437298,None,0,19,19,30,14.534796899883077,,,,,,,,,,,,,,,14.507432000013068,14.534796899883077,14.534796899883077,14.534796899883077,14.534796899883077,14.534796899883077,14.590004599886015,n,1,0.04907319997437298,None,14.590253500035033,14.602749599842355,15.08820390002802,15.22463670000434,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
